t_s,pore_pressure_kpa,dataset_id,sensor_id,p0_kpa,Pu_train_kpa,h_m,cv_train_m2s,R_obs
24621.73,2.29,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,1.0
24621.74,2.26,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9923076923076922
24621.75,2.31,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,1.005128205128205
24621.76,2.26,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9923076923076922
24621.77,2.29,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,1.0
24621.78,2.26,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9923076923076922
24621.79,2.26,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9923076923076922
24621.8,2.28,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9974358974358972
24621.81,2.28,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9974358974358972
24621.82,2.25,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9897435897435898
24621.83,2.26,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9923076923076922
24621.84,2.29,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,1.0
24621.85,2.29,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,1.0
24621.86,2.29,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,1.0
24621.87,2.28,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9974358974358972
24621.88,2.29,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,1.0
24621.89,2.29,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,1.0
24621.9,2.28,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9974358974358972
24621.91,2.26,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9923076923076922
24621.92,2.29,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,1.0
24621.93,2.28,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9974358974358972
24621.94,2.31,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,1.005128205128205
24621.95,2.28,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9974358974358972
24621.96,2.29,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,1.0
24621.97,2.28,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9974358974358972
24621.98,2.26,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9923076923076922
24621.99,2.26,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9923076923076922
24622.0,2.26,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9923076923076922
24622.01,2.26,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9923076923076922
24622.02,2.25,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9897435897435898
24622.03,2.28,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9974358974358972
24622.04,2.29,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,1.0
24622.05,2.28,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9974358974358972
24622.06,2.29,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,1.0
24622.07,2.26,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9923076923076922
24622.08,2.26,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9923076923076922
24622.09,2.28,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9974358974358972
24622.1,2.26,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9923076923076922
24622.11,2.25,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9897435897435898
24622.12,2.28,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9974358974358972
24622.13,2.28,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9974358974358972
24622.14,2.28,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9974358974358972
24622.15,2.26,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9923076923076922
24622.16,2.26,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9923076923076922
24622.17,2.31,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,1.005128205128205
24622.18,2.31,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,1.005128205128205
24622.19,2.28,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9974358974358972
24622.2,2.28,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9974358974358972
24622.21,2.28,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9974358974358972
24622.22,2.28,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9974358974358972
24622.23,2.28,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9974358974358972
24622.24,2.25,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9897435897435898
24622.25,2.29,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,1.0
24622.26,2.26,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9923076923076922
24622.27,2.29,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,1.0
24622.28,2.28,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9974358974358972
24622.29,2.26,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9923076923076922
24622.3,2.28,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9974358974358972
24622.31,2.26,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9923076923076922
24622.32,2.28,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9974358974358972
24622.33,2.28,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9974358974358972
24622.34,2.28,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9974358974358972
