"Reid, M.E. and Ochiai, H, Displacement and pore-pressure data from a field-scale landslide initiation experiment at Mount Kaba-san, Japan",,,,,,,,,,,,
U.S. Geological Survey Data Release: https://doi.org/10.5066/P18XMZPC,,,,,,,,,,,,
"Nov. 14, 2003",100-Hz data,Rapid failure period data,,,,,,,,,,
(TIMER = time after sprinkling commenced in seconds; Ext = extensometer; raw = original distance data; corr = corrected data to reflect slope-parallel distance m = meter; Piezo = piezometer; cm_head = pore-pressure head in centimeters; kPa = kiloPascal),,,,,,,,,,,,
TIMER_(sec),Ext.3_raw_(m),Ext.4_raw_(m),Ext.5_raw_(m),Ext.3_corr_(m),Ext.4_corr_(m),Ext.5_corr_(m),Piezo.4_(cm_head),Piezo.6_(cm_head),Piezo.7_(cm_head),Piezo.4_(kPa),Piezo.6_(kPa),Piezo.7_(kPa)
24621.85,0.61745,0.20975,0.1216,0.617,0.210,0.122,23.39,3.59,37.87,2.29,0.35,3.71
24621.86,0.61757,0.21038,0.1216,0.618,0.210,0.122,23.39,3.28,37.87,2.29,0.32,3.71
24621.87,0.6177,0.21101,0.12135,0.618,0.211,0.121,23.24,3.13,37.73,2.28,0.31,3.70
24621.88,0.61757,0.21164,0.1216,0.618,0.212,0.122,23.39,2.97,37.73,2.29,0.29,3.70
24621.89,0.61795,0.20975,0.12173,0.618,0.210,0.122,23.39,3.13,37.87,2.29,0.31,3.71
24621.90,0.61783,0.21038,0.1216,0.618,0.210,0.122,23.24,3.13,37.58,2.28,0.31,3.69
24621.91,0.61795,0.21101,0.12173,0.618,0.211,0.122,23.08,3.28,37.87,2.26,0.32,3.71
24621.92,0.61795,0.21038,0.12173,0.618,0.210,0.122,23.39,3.44,38.02,2.29,0.34,3.73
24621.93,0.61808,0.20975,0.12173,0.618,0.210,0.122,23.24,3.13,37.87,2.28,0.31,3.71
24621.94,0.61821,0.21038,0.12186,0.618,0.210,0.122,23.55,3.28,37.87,2.31,0.32,3.71
24621.95,0.61821,0.21101,0.1216,0.618,0.211,0.122,23.24,2.81,37.73,2.28,0.28,3.70
24621.96,0.61833,0.21101,0.12148,0.618,0.211,0.121,23.39,3.13,37.87,2.29,0.31,3.71
24621.97,0.61833,0.20975,0.12186,0.618,0.210,0.122,23.24,3.28,37.87,2.28,0.32,3.71
24621.98,0.61872,0.21164,0.12173,0.619,0.212,0.122,23.08,2.97,37.58,2.26,0.29,3.69
24621.99,0.61872,0.21038,0.12199,0.619,0.210,0.122,23.08,3.28,37.58,2.26,0.32,3.69
24622.00,0.61884,0.21038,0.12173,0.619,0.210,0.122,23.08,3.28,37.73,2.26,0.32,3.70
24622.01,0.6191,0.21038,0.12173,0.619,0.210,0.122,23.08,2.97,37.73,2.26,0.29,3.70
24622.02,0.61872,0.21038,0.12199,0.619,0.210,0.122,22.93,2.66,37.87,2.25,0.26,3.71
24622.03,0.61922,0.21038,0.12199,0.619,0.210,0.122,23.24,2.97,37.44,2.28,0.29,3.67
